13 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
19:00,Germany - Argentina,1:0 ET,139,227,227,6
12 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Brazil - Netherlands,0:03,114,268,237,6
09 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Netherlands - Argentina,0:1 pen.,209,220,152,6
08 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Brazil - Germany,1:07,163,220,196,6
05 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Netherlands - Costa Rica,1:0 pen.,-192,318,615,6
16:00,Argentina - Belgium,1:00,-101,239,321,6
04 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Brazil - Colombia,2:01,-132,279,393,6
16:00,France - Germany,0:01,181,216,177,6
01 Jul 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Belgium - USA,2:1 ET,100,239,309,6
16:00,Argentina - Switzerland,1:0 ET,-175,317,532,6
30 Jun 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Germany - Algeria,2:1 ET,-312,465,917,6
16:00,France - Nigeria,2:00,-244,366,771,6
29 Jun 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Costa Rica - Greece,2:1 pen.,173,208,192,6
16:00,Netherlands - Mexico,2:01,116,234,267,6
28 Jun 2014 - Play Offs,1,X,2,B's,,
,,,,,,
20:00,Colombia - Uruguay,2:00,114,233,270,6
16:00,Brazil - Chile,2:1 pen.,-192,351,533,6
26-Jun-14,1,X,2,B's,,
,,,,,,
20:00,Algeria - Russia,1:01,269,267,102,6
20:00,South Korea - Belgium,0:01,359,254,-118,6
16:00,Portugal - Ghana,2:01,-132,383,281,6
16:00,USA - Germany,0:01,718,213,-147,6
25-Jun-14,1,X,2,B's,,
,,,,,,
20:00,Ecuador - France,0:00,451,316,-161,6
20:00,Honduras - Switzerland,0:03,610,348,-208,6
16:00,Bosnia & Herzegovina - Iran,3:01,120,257,229,6
16:00,Nigeria - Argentina,2:03,867,325,-233,6
24-Jun-14,1,X,2,B's,,
,,,,,,
20:00,Greece - Ivory Coast,2:01,298,258,-104,6
20:00,Japan - Colombia,1:04,245,273,108,6
16:00,Costa Rica - England,0:00,348,301,-132,6
16:00,Italy - Uruguay,0:01,154,250,177,6
23-Jun-14,1,X,2,B's,,
,,,,,,
20:00,Cameroon - Brazil,1:04,2175,852,-769,6
20:00,Croatia - Mexico,1:03,172,247,162,6
16:00,Australia - Spain,0:03,713,430,-270,6
16:00,Netherlands - Chile,2:00,170,250,161,6
22-Jun-14,1,X,2,B's,,
,,,,,,
22:00,USA - Portugal,2:02,357,312,-135,6
19:00,South Korea - Algeria,2:04,150,229,196,6
16:00,Belgium - Russia,1:00,122,235,244,6
21-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Nigeria - Bosnia & Herzegovina,1:00,333,263,-115,6
19:00,Germany - Ghana,2:02,-303,461,809,6
16:00,Argentina - Iran,1:00,-714,760,2096,6
20-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Honduras - Ecuador,1:02,479,323,-169,6
19:00,Switzerland - France,2:05,359,252,-116,6
16:00,Italy - Costa Rica,0:01,-172,303,547,6
19-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Japan - Greece,0:00,142,236,204,6
19:00,Uruguay - England,2:01,281,278,-106,6
16:00,Colombia - Ivory Coast,2:01,102,254,276,6
18-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Cameroon - Croatia,0:04,453,293,-152,6
19:00,Spain - Chile,0:02,-172,343,451,6
16:00,Australia - Netherlands,2:03,1215,561,-435,6
17-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Russia - South Korea,1:01,-122,260,366,6
19:00,Brazil - Mexico,0:00,-286,430,819,6
16:00,Belgium - Algeria,2:01,-303,425,921,6
16-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Ghana - USA,1:02,142,243,198,6
19:00,Iran - Nigeria,0:00,379,248,-119,6
16:00,Germany - Portugal,4:00,108,252,266,6
15-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Argentina - Bosnia & Herzegovina,2:01,-333,466,953,6
19:00,France - Honduras,3:00,-370,504,1118,6
16:00,Switzerland - Ecuador,2:01,144,223,211,6
1:00,Ivory Coast - Japan,2:01,172,231,169,6
14-Jun-14,1,X,2,B's,,
,,,,,,
22:00,England - Italy,1:02,150,200,227,6
19:00,Uruguay - Costa Rica,1:03,-227,326,790,6
16:00,Colombia - Greece,3:00,-116,227,415,6
13-Jun-14,1,X,2,B's,,
,,,,,,
22:00,Chile - Australia,3:01,-238,348,777,6
19:00,Spain - Netherlands,1:05,-119,239,411,6
16:00,Mexico - Cameroon,1:00,118,215,278,6
12-Jun-14,1,X,2,B's,,
,,,,,,
20:00,Brazil - Croatia,3:01,-312,419,1093,6
